Date_Key,Date,Year,Quarter,Month,Month_Name,Day,Weekday_Name
20230101,2023-01-01,2023,Q1,1,January,1,Sunday
20230102,2023-01-02,2023,Q1,1,January,2,Monday
20230103,2023-01-03,2023,Q1,1,January,3,Tuesday
20230104,2023-01-04,2023,Q1,1,January,4,Wednesday
20230105,2023-01-05,2023,Q1,1,January,5,Thursday
20230106,2023-01-06,2023,Q1,1,January,6,Friday
20230107,2023-01-07,2023,Q1,1,January,7,Saturday
20230108,2023-01-08,2023,Q1,1,January,8,Sunday
20230109,2023-01-09,2023,Q1,1,January,9,Monday
20230110,2023-01-10,2023,Q1,1,January,10,Tuesday
20230111,2023-01-11,2023,Q1,1,January,11,Wednesday
20230112,2023-01-12,2023,Q1,1,January,12,Thursday
20230113,2023-01-13,2023,Q1,1,January,13,Friday
20230114,2023-01-14,2023,Q1,1,January,14,Saturday
20230115,2023-01-15,2023,Q1,1,January,15,Sunday
20230116,2023-01-16,2023,Q1,1,January,16,Monday
20230117,2023-01-17,2023,Q1,1,January,17,Tuesday
20230118,2023-01-18,2023,Q1,1,January,18,Wednesday
20230119,2023-01-19,2023,Q1,1,January,19,Thursday
20230120,2023-01-20,2023,Q1,1,January,20,Friday
20230121,2023-01-21,2023,Q1,1,January,21,Saturday
20230122,2023-01-22,2023,Q1,1,January,22,Sunday
20230123,2023-01-23,2023,Q1,1,January,23,Monday
20230124,2023-01-24,2023,Q1,1,January,24,Tuesday
20230125,2023-01-25,2023,Q1,1,January,25,Wednesday
20230126,2023-01-26,2023,Q1,1,January,26,Thursday
20230127,2023-01-27,2023,Q1,1,January,27,Friday
20230128,2023-01-28,2023,Q1,1,January,28,Saturday
20230129,2023-01-29,2023,Q1,1,January,29,Sunday
20230130,2023-01-30,2023,Q1,1,January,30,Monday
20230131,2023-01-31,2023,Q1,1,January,31,Tuesday
20230201,2023-02-01,2023,Q1,2,February,1,Wednesday
20230202,2023-02-02,2023,Q1,2,February,2,Thursday
20230203,2023-02-03,2023,Q1,2,February,3,Friday
20230204,2023-02-04,2023,Q1,2,February,4,Saturday
20230205,2023-02-05,2023,Q1,2,February,5,Sunday
20230206,2023-02-06,2023,Q1,2,February,6,Monday
20230207,2023-02-07,2023,Q1,2,February,7,Tuesday
20230208,2023-02-08,2023,Q1,2,February,8,Wednesday
20230209,2023-02-09,2023,Q1,2,February,9,Thursday
20230210,2023-02-10,2023,Q1,2,February,10,Friday
20230211,2023-02-11,2023,Q1,2,February,11,Saturday
20230212,2023-02-12,2023,Q1,2,February,12,Sunday
20230213,2023-02-13,2023,Q1,2,February,13,Monday
20230214,2023-02-14,2023,Q1,2,February,14,Tuesday
20230215,2023-02-15,2023,Q1,2,February,15,Wednesday
20230216,2023-02-16,2023,Q1,2,February,16,Thursday
20230217,2023-02-17,2023,Q1,2,February,17,Friday
20230218,2023-02-18,2023,Q1,2,February,18,Saturday
20230219,2023-02-19,2023,Q1,2,February,19,Sunday
20230220,2023-02-20,2023,Q1,2,February,20,Monday
20230221,2023-02-21,2023,Q1,2,February,21,Tuesday
20230222,2023-02-22,2023,Q1,2,February,22,Wednesday
20230223,2023-02-23,2023,Q1,2,February,23,Thursday
20230224,2023-02-24,2023,Q1,2,February,24,Friday
20230225,2023-02-25,2023,Q1,2,February,25,Saturday
20230226,2023-02-26,2023,Q1,2,February,26,Sunday
20230227,2023-02-27,2023,Q1,2,February,27,Monday
20230228,2023-02-28,2023,Q1,2,February,28,Tuesday
20230301,2023-03-01,2023,Q1,3,March,1,Wednesday
20230302,2023-03-02,2023,Q1,3,March,2,Thursday
20230303,2023-03-03,2023,Q1,3,March,3,Friday
20230304,2023-03-04,2023,Q1,3,March,4,Saturday
20230305,2023-03-05,2023,Q1,3,March,5,Sunday
20230306,2023-03-06,2023,Q1,3,March,6,Monday
20230307,2023-03-07,2023,Q1,3,March,7,Tuesday
20230308,2023-03-08,2023,Q1,3,March,8,Wednesday
20230309,2023-03-09,2023,Q1,3,March,9,Thursday
20230310,2023-03-10,2023,Q1,3,March,10,Friday
